@relation DATA_SET_2010-weka.filters.unsupervised.attribute.Remove-R1-92

@attribute SEN_COMPX_0 numeric
@attribute SEN_COMPX_1 numeric
@attribute SEN_COMPX_2 numeric
@attribute SEN_COMPX_3 numeric
@attribute SEN_COMPX_4 numeric
@attribute SEN_COMPX_5 numeric
@attribute SEN_COMPX_6 numeric
@attribute SEN_COMPX_7 numeric
@attribute SEN_COMPX_8 numeric
@attribute SEN_COMPX_9 numeric
@attribute SEN_COMPX_10 numeric
@attribute SEN_COMPX_11 numeric
@attribute SEN_COMPX_12 numeric
@attribute SEN_COMPX_13 numeric
@attribute SEN_COMPX_14 numeric
@attribute SEN_COMPX_15 numeric
@attribute SEN_COMPX_16 numeric
@attribute SEN_COMPX_17 numeric
@attribute SEN_COMPX_18 numeric
@attribute SEN_COMPX_19 numeric
@attribute SEN_COMPX_20 numeric
@attribute SEN_COMPX_21 numeric
@attribute SEN_COMPX_22 numeric
@attribute SEN_COMPX_23 numeric
@attribute SEN_COMPX_24 numeric
@attribute SEN_COMPX_25 numeric
@attribute SEN_COMPX_26 numeric
@attribute SEN_COMPX_27 numeric
@attribute SEN_COMPX_28 numeric
@attribute SEN_COMPX_29 numeric
@attribute SEN_COMPX_30 numeric
@attribute SEN_COMPX_31 numeric
@attribute SEN_COMPX_32 numeric
@attribute SEN_COMPX_33 numeric
@attribute SEN_COMPX_34 numeric
@attribute SEN_COMPX_35 numeric
@attribute SEN_COMPX_36 numeric
@attribute SEN_COMPX_37 numeric
@attribute SEN_COMPX_38 numeric
@attribute SEN_COMPX_39 numeric
@attribute CLASS {true,false}

@data
0,0,0,0.144,0.077333,0.058667,0.058667,0.072,0.077333,0.077333,0.058667,0.072,0.096,0.045333,0.048,0.034667,0.021333,0.005333,0.026667,0.010667,0.005333,0.002667,0,0,0,0.002667,0,0,0,0,0.002667,0,0,0,0,0,0,0,0,0.002667,true
0,0,0,0.089974,0.287918,0.079692,0.028278,0.051414,0.059126,0.048843,0.059126,0.056555,0.03856,0.048843,0.030848,0.033419,0.020566,0.012853,0.025707,0.007712,0.010283,0,0.002571,0.002571,0.002571,0,0,0,0.002571,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.098039,0.081232,0.036415,0.056022,0.120448,0.095238,0.092437,0.089636,0.081232,0.095238,0.053221,0.033613,0.02521,0.011204,0.014006,0.008403,0.002801,0.002801,0,0.002801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.073718,0.086538,0.044872,0.051282,0.067308,0.083333,0.092949,0.083333,0.083333,0.057692,0.073718,0.064103,0.028846,0.028846,0.022436,0.012821,0.019231,0.016026,0,0,0.003205,0,0.003205,0,0.003205,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.082742,0.049645,0.044917,0.082742,0.122931,0.108747,0.111111,0.070922,0.106383,0.056738,0.040189,0.044917,0.021277,0.01182,0.007092,0.01182,0.014184,0.004728,0.002364,0,0,0,0.004728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.072674,0.049419,0.049419,0.078488,0.110465,0.098837,0.116279,0.078488,0.081395,0.075581,0.06686,0.034884,0.020349,0.034884,0.011628,0,0.008721,0.005814,0.002907,0.002907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.277477,0.064865,0.03964,0.063063,0.066667,0.102703,0.082883,0.068468,0.063063,0.061261,0.025225,0.034234,0.021622,0.009009,0.014414,0.001802,0.003604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.118156,0.057637,0.060519,0.100865,0.086455,0.069164,0.063401,0.083573,0.054755,0.069164,0.072046,0.034582,0.040346,0.025937,0.020173,0.023055,0,0,0.008646,0,0.002882,0,0.002882,0.002882,0,0,0,0,0.002882,0,0,0,0,0,0,0,0,true
0,0,0,0.095652,0.046377,0.069565,0.057971,0.084058,0.095652,0.104348,0.066667,0.078261,0.034783,0.066667,0.046377,0.037681,0.017391,0.02029,0.011594,0.008696,0.005797,0.011594,0.017391,0.008696,0.008696,0.005797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0.009585,0,0,0.121406,0.044728,0.089457,0.031949,0.044728,0.086262,0.086262,0.083067,0.073482,0.076677,0.044728,0.060703,0.035144,0.031949,0.022364,0.019169,0.015974,0.00639,0.00639,0,0,0.003195,0.003195,0.003195,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0.004717,0,0,0.056604,0.075472,0.073113,0.051887,0.073113,0.058962,0.103774,0.084906,0.084906,0.066038,0.054245,0.042453,0.033019,0.042453,0.025943,0.025943,0.011792,0.007075,0.007075,0.009434,0.002358,0,0.002358,0.002358,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0.015915,0,0,0.111406,0.050398,0.06366,0.037135,0.079576,0.066313,0.066313,0.06366,0.114058,0.05305,0.039788,0.029178,0.047745,0.061008,0.03183,0.026525,0.018568,0,0.002653,0.007958,0,0,0.007958,0,0,0.002653,0,0.002653,0,0,0,0,0,0,0,0,0,true
0,0,0,0.045977,0.08908,0.043103,0.074713,0.063218,0.086207,0.091954,0.114943,0.083333,0.083333,0.037356,0.045977,0.031609,0.048851,0.014368,0.014368,0.011494,0.011494,0,0.002874,0.005747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.068657,0.059701,0.053731,0.050746,0.077612,0.083582,0.125373,0.086567,0.104478,0.080597,0.041791,0.053731,0.044776,0.023881,0.014925,0.008955,0.008955,0.00597,0,0,0,0.002985,0,0,0.002985,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.253863,0.0883,0.046358,0.048565,0.077263,0.059603,0.081678,0.072848,0.064018,0.041943,0.041943,0.03532,0.019868,0.024283,0.015453,0.011038,0.006623,0.004415,0.004415,0,0,0,0,0.002208,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.052632,0.070175,0.040936,0.061404,0.090643,0.105263,0.105263,0.108187,0.087719,0.070175,0.05848,0.038012,0.02924,0.035088,0.011696,0.017544,0.005848,0.002924,0.008772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.08125,0.059375,0.053125,0.059375,0.075,0.109375,0.065625,0.090625,0.075,0.065625,0.084375,0.046875,0.03125,0.021875,0.040625,0.015625,0.009375,0.003125,0.00625,0,0.003125,0,0,0,0,0,0,0,0,0,0,0.003125,0,0,0,0,0,true
0,0,0,0.158784,0.101351,0.047297,0.057432,0.074324,0.070946,0.084459,0.10473,0.084459,0.054054,0.054054,0.033784,0.010135,0.016892,0.023649,0.006757,0.010135,0,0,0.003378,0.003378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.084249,0.03663,0.047619,0.102564,0.124542,0.076923,0.106227,0.095238,0.091575,0.058608,0.032967,0.021978,0.03663,0.018315,0.014652,0.014652,0.014652,0.010989,0.007326,0,0,0,0.003663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.050314,0.069182,0.040881,0.08805,0.056604,0.08805,0.08805,0.097484,0.116352,0.075472,0.053459,0.044025,0.025157,0.040881,0.018868,0.018868,0.009434,0.009434,0.003145,0,0,0.003145,0.003145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.102041,0.12828,0.052478,0.069971,0.055394,0.087464,0.110787,0.052478,0.081633,0.049563,0.043732,0.029155,0.055394,0.023324,0.020408,0.008746,0.008746,0.011662,0.002915,0.002915,0,0,0,0,0.002915,0,0,0,0,0,0,0,0,0,0,0,0,true
0.031365,0,0,0.221402,0.171587,0.129151,0.035055,0.053506,0.055351,0.046125,0.060886,0.055351,0.02952,0.035055,0.01476,0.01845,0.009225,0.01107,0.005535,0.001845,0.001845,0.001845,0,0.001845,0.00369,0.001845,0,0.001845,0,0,0,0,0,0,0,0.001845,0,0,0,0,true
0,0,0,0.106965,0.074627,0.072139,0.069652,0.099502,0.087065,0.079602,0.084577,0.08209,0.047264,0.059701,0.037313,0.022388,0.034826,0.012438,0.00995,0.00995,0.004975,0,0,0,0.002488,0,0,0,0,0,0.002488,0,0,0,0,0,0,0,0,0,true
0.002291,0,0,0.104238,0.142039,0.207331,0.164948,0.137457,0.107675,0.057274,0.028637,0.017182,0.008018,0.0126,0.004582,0.003436,0.002291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,true
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,true
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,true
0,0,0,0.056391,0.045113,0.06015,0.030075,0.06391,0.097744,0.101504,0.116541,0.082707,0.082707,0.041353,0.037594,0.067669,0.041353,0.015038,0.011278,0.018797,0.003759,0.007519,0.003759,0.007519,0.003759,0.003759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.075949,0.075949,0.060127,0.075949,0.056962,0.050633,0.063291,0.053797,0.063291,0.063291,0.063291,0.044304,0.053797,0.041139,0.028481,0.041139,0.015823,0.009494,0.003165,0.012658,0.009494,0.022152,0.009494,0.003165,0,0,0.003165,0,0,0,0,0,0,0,0,0,0,true
0.001076,0,0,0.14747,0.14747,0.184069,0.181916,0.143165,0.086114,0.057051,0.022605,0.013994,0.006459,0.003229,0.003229,0.001076,0.001076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.28866,0.06701,0.033505,0.072165,0.043814,0.061856,0.059278,0.051546,0.095361,0.041237,0.054124,0.03866,0.015464,0.018041,0.015464,0.007732,0.012887,0.002577,0.012887,0.002577,0.002577,0,0,0.002577,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.125,0.097222,0.080556,0.086111,0.058333,0.080556,0.083333,0.080556,0.075,0.066667,0.044444,0.036111,0.022222,0.022222,0.011111,0.016667,0.005556,0.005556,0,0,0.002778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.20614,0.157895,0.072368,0.046053,0.041667,0.083333,0.065789,0.050439,0.057018,0.054825,0.048246,0.039474,0.02193,0.019737,0.017544,0.008772,0.004386,0.002193,0,0.002193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.105541,0.102902,0.079156,0.063325,0.065963,0.100264,0.081794,0.087071,0.068602,0.097625,0.05277,0.01847,0.015831,0.015831,0.002639,0.013193,0.007916,0.005277,0,0.002639,0.002639,0.005277,0.002639,0,0,0,0.002639,0,0,0,0,0,0,0,0,0,0,true
0,0,0,0.051988,0.04893,0.073394,0.058104,0.070336,0.058104,0.085627,0.082569,0.100917,0.051988,0.067278,0.051988,0.045872,0.045872,0.021407,0.030581,0.018349,0.003058,0.006116,0.009174,0,0.009174,0.003058,0,0,0,0,0,0.003058,0,0,0.003058,0,0,0,0,0,true
0,0,0,0.117647,0.067227,0.058824,0.128852,0.078431,0.089636,0.081232,0.078431,0.07563,0.056022,0.05042,0.033613,0.016807,0.022409,0.005602,0.005602,0.005602,0.002801,0.002801,0.011204,0.002801,0.005602,0.002801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
0.00339,0,0,0.040678,0.037288,0.040678,0.071186,0.125424,0.101695,0.094915,0.105085,0.081356,0.094915,0.047458,0.033898,0.020339,0.030508,0.020339,0.023729,0.010169,0.00339,0.00678,0,0,0.00339,0,0.00339,0,0,0,0,0,0,0,0,0,0,0,0,0,true
